timestamp, L1_m, F1_m3ph, F2_m3ph, price_EUR_per_kWh, pump_freqs_Hz
2024-11-15 00:15:00, 2.385, 5818.1, 5335.2, 0.0029, [0:0.0, 1:50.0, 2:50.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 00:30:00, 2.375, 5712.1, 6283.5, 0.0029, [0:0.0, 1:0.0, 2:48.3, 3:0.0, 4:48.3, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 00:45:00, 2.359, 5624.3, 6275.5, 0.0029, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:48.3, 5:48.3, 6:0.0, 7:0.0]
2024-11-15 01:00:00, 2.341, 5476.6, 5996.4, 0.0032, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:47.7, 6:47.7, 7:0.0]
2024-11-15 01:15:00, 2.319, 5315.2, 6269.5, 0.0032, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:48.3, 7:48.3]
2024-11-15 01:30:00, 2.290, 5007.5, 6249.6, 0.0032, [0:0.0, 1:0.0, 2:0.0, 3:48.2, 4:0.0, 5:0.0, 6:0.0, 7:48.2]
2024-11-15 01:45:00, 2.257, 5015.6, 6226.8, 0.0032, [0:0.0, 1:0.0, 2:0.0, 3:48.2, 4:0.0, 5:0.0, 6:0.0, 7:48.2]
2024-11-15 02:00:00, 2.222, 4886.7, 6201.8, 0.0030, [0:0.0, 1:0.0, 2:0.0, 3:48.1, 4:0.0, 5:0.0, 6:0.0, 7:48.1]
2024-11-15 02:15:00, 2.183, 4650.5, 6163.5, 0.0030, [0:0.0, 1:0.0, 2:48.0, 3:48.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 02:30:00, 2.136, 4314.9, 6102.2, 0.0030, [0:0.0, 1:0.0, 2:47.9, 3:0.0, 4:47.9, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 02:45:00, 2.082, 4138.1, 6030.1, 0.0030, [0:0.0, 1:0.0, 2:47.7, 3:0.0, 4:47.7, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 03:00:00, 2.006, 3958.8, 14139.2, 0.0029, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:50.0, 5:50.0, 6:50.0, 7:50.0]
2024-11-15 03:15:00, 1.571, 3776.4, 15939.6, 0.0029, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:50.0, 5:50.0, 6:50.0, 7:50.0]
2024-11-15 03:30:00, 0.848, 3586.0, 11921.1, 0.0029, [0:47.6, 1:47.6, 2:0.0, 3:0.0, 4:0.0, 5:47.6, 6:47.6, 7:47.6]
2024-11-15 03:45:00, 0.662, 3427.9, 3534.8, 0.0029, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 04:00:00, 0.605, 3230.0, 2970.7, 0.0034, [0:47.6, 1:47.6, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 04:15:00, 0.641, 3035.8, 1800.4, 0.0034, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 04:30:00, 0.609, 2832.8, 1800.4, 0.0034, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
